id,tender_id,title,issuing_authority,category,department,location,state,publish_date,deadline_date,source_url,description,tender_value,status
16090,,Cancellation_of_Previous_Quotation.pdf,JSBCCL,General,General,Bihar,Jharkhand,,,https://jsbccl.jharkhand.gov.in/assets/admin/uploads/tenders/Cancellation_of_Previous_Quotation.pdf,"S.N.Tender Ref. No.Name of WorkNITCorrigendumTender Ref. Link1Cancellation of Quotation dated 16.06.2021Cancellation of Notice For Hiring vehicleCancellation_of_Previous_Quotation.pdfRead More21024 dated 01.07.2021Short Quotation for Hiring vehicleFresh_Quotation.pdfRead More3JSBCCL 889Short notice for hiring vehicleNotice_for_Hiring_vehicle.pdfRead More4JSBCCL/47/2019-20Renovation and Development of Arts Block, Auditorium, Administrative Building, Main Building and Girls Section New Building for Marwari College Campus at RanchiNIT-47.pdfRead More5JSBCCL/46/2019-20Proposed Construction of Science Block for Markham College of Commerce at HazaribaghNIT-46.pdfRead More6JSBCCL/45/2019-20Construction of Base Kitchen and Distribution Center under Mukhyamantri Canteen Scheme in Ranchi DistrictNIT-45.pdfRead More",,open
16091,,Tenders,JSBCCL,General,General,Bihar,Jharkhand,,,https://jsbccl.jharkhand.gov.in/tenders,Tenders,,open
16092,,Jharkhand Action for Generating Responsive and Inclusive Transformations in Health Infrastructure (JAGRITI) General Procurement Notice: Market Sounding Event....,JSBCCL,Works,Health,Bihar,Jharkhand,,,https://jsbccl.jharkhand.gov.in/circular,Jharkhand Action for Generating Responsive and Inclusive Transformations in Health Infrastructure (JAGRITI) General Procurement Notice: Market Sounding Event....Read more...,,open
16094,,List of Shortlisted candidate for the post of Manager (Technical) & manager(Electrical)...,JSBCCL,General,Power,Bihar,Jharkhand,,,https://jsbccl.jharkhand.gov.in/career/results,List of Shortlisted candidate for the post of Manager (Technical) & manager(Electrical)...Read more...,,open
16095,,Fresh_Quotation.pdf,JSBCCL,General,General,Bihar,Jharkhand,,,https://jsbccl.jharkhand.gov.in/assets/admin/uploads/tenders/Fresh_Quotation.pdf,21024 dated 01.07.2021Short Quotation for Hiring vehicleFresh_Quotation.pdfRead More,,open
16096,,Notice_for_Hiring_vehicle.pdf,JSBCCL,Goods,Transport,Bihar,Jharkhand,,,https://jsbccl.jharkhand.gov.in/assets/admin/uploads/tenders/Notice_for_Hiring_vehicle.pdf,3JSBCCL 889Short notice for hiring vehicleNotice_for_Hiring_vehicle.pdfRead More,,open
16097,,NIT-47.pdf,JSBCCL,General,General,Bihar,Jharkhand,,,https://jsbccl.jharkhand.gov.in/assets/admin/uploads/tenders/NIT-47.pdf,"4JSBCCL/47/2019-20Renovation and Development of Arts Block, Auditorium, Administrative Building, Main Building and Girls Section New Building for Marwari College Campus at RanchiNIT-47.pdfRead More",,open
16098,,NIT-46.pdf,JSBCCL,General,General,Bihar,Jharkhand,,,https://jsbccl.jharkhand.gov.in/assets/admin/uploads/tenders/NIT-46.pdf,5JSBCCL/46/2019-20Proposed Construction of Science Block for Markham College of Commerce at HazaribaghNIT-46.pdfRead More,,open
16099,,NIT-45.pdf,JSBCCL,General,General,Bihar,Jharkhand,,,https://jsbccl.jharkhand.gov.in/assets/admin/uploads/tenders/NIT-45.pdf,6JSBCCL/45/2019-20Construction of Base Kitchen and Distribution Center under Mukhyamantri Canteen Scheme in Ranchi DistrictNIT-45.pdfRead More,,open
16100,,e-Tender,JBVNL,General,General,Bihar,Unknown,,,https://jbvnl.co.in/,e-Tender,,open
