id,tender_id,title,description,issuing_authority,department,source_portal,source_url,publish_date,deadline_date,tender_value,currency,category,sub_category,location,state,contact_email,contact_phone,last_checked,status,verification_score,supplier_matches,created_at,updated_at
16090,,Cancellation_of_Previous_Quotation.pdf,"S.N.Tender Ref. No.Name of WorkNITCorrigendumTender Ref. Link1Cancellation of Quotation dated 16.06.2021Cancellation of Notice For Hiring vehicleCancellation_of_Previous_Quotation.pdfRead More21024 dated 01.07.2021Short Quotation for Hiring vehicleFresh_Quotation.pdfRead More3JSBCCL 889Short notice for hiring vehicleNotice_for_Hiring_vehicle.pdfRead More4JSBCCL/47/2019-20Renovation and Development of Arts Block, Auditorium, Administrative Building, Main Building and Girls Section New Building for Marwari College Campus at RanchiNIT-47.pdfRead More5JSBCCL/46/2019-20Proposed Construction of Science Block for Markham College of Commerce at HazaribaghNIT-46.pdfRead More6JSBCCL/45/2019-20Construction of Base Kitchen and Distribution Center under Mukhyamantri Canteen Scheme in Ranchi DistrictNIT-45.pdfRead More",JSBCCL,General,JSBCCL,https://jsbccl.jharkhand.gov.in/assets/admin/uploads/tenders/Cancellation_of_Previous_Quotation.pdf,,,,INR,General,,Bihar,Jharkhand,,,2026-03-04 11:27:52.461403,open,50,,2026-03-04 06:19:39.850931,2026-03-04 11:27:52.461403
16091,,Tenders,Tenders,JSBCCL,General,JSBCCL,https://jsbccl.jharkhand.gov.in/tenders,,,,INR,General,,Bihar,Jharkhand,,,2026-03-04 11:27:52.459404,open,50,,2026-03-04 06:19:39.868972,2026-03-04 11:27:52.459404
16092,,Jharkhand Action for Generating Responsive and Inclusive Transformations in Health Infrastructure (JAGRITI) General Procurement Notice: Market Sounding Event....,Jharkhand Action for Generating Responsive and Inclusive Transformations in Health Infrastructure (JAGRITI) General Procurement Notice: Market Sounding Event....Read more...,JSBCCL,Health,JSBCCL,https://jsbccl.jharkhand.gov.in/circular,,,,INR,Works,,Bihar,Jharkhand,,,2026-03-04 11:27:52.469404,open,50,,2026-03-04 06:19:40.005943,2026-03-04 11:27:52.469404
16094,,List of Shortlisted candidate for the post of Manager (Technical) & manager(Electrical)...,List of Shortlisted candidate for the post of Manager (Technical) & manager(Electrical)...Read more...,JSBCCL,Power,JSBCCL,https://jsbccl.jharkhand.gov.in/career/results,,,,INR,General,,Bihar,Jharkhand,,,2026-03-04 11:27:52.449400,open,50,,2026-03-04 06:19:40.061028,2026-03-04 11:27:52.450409
16095,,Fresh_Quotation.pdf,21024 dated 01.07.2021Short Quotation for Hiring vehicleFresh_Quotation.pdfRead More,JSBCCL,General,JSBCCL,https://jsbccl.jharkhand.gov.in/assets/admin/uploads/tenders/Fresh_Quotation.pdf,,,,INR,General,,Bihar,Jharkhand,,,2026-03-04 11:27:52.461403,open,50,,2026-03-04 06:19:40.158690,2026-03-04 11:27:52.461403
16096,,Notice_for_Hiring_vehicle.pdf,3JSBCCL 889Short notice for hiring vehicleNotice_for_Hiring_vehicle.pdfRead More,JSBCCL,Transport,JSBCCL,https://jsbccl.jharkhand.gov.in/assets/admin/uploads/tenders/Notice_for_Hiring_vehicle.pdf,,,,INR,Goods,,Bihar,Jharkhand,,,2026-03-04 11:27:52.463403,open,50,,2026-03-04 06:19:40.165888,2026-03-04 11:27:52.463403
16097,,NIT-47.pdf,"4JSBCCL/47/2019-20Renovation and Development of Arts Block, Auditorium, Administrative Building, Main Building and Girls Section New Building for Marwari College Campus at RanchiNIT-47.pdfRead More",JSBCCL,General,JSBCCL,https://jsbccl.jharkhand.gov.in/assets/admin/uploads/tenders/NIT-47.pdf,,,,INR,General,,Bihar,Jharkhand,,,2026-03-04 11:27:52.464402,open,50,,2026-03-04 06:19:40.172950,2026-03-04 11:27:52.464402
16098,,NIT-46.pdf,5JSBCCL/46/2019-20Proposed Construction of Science Block for Markham College of Commerce at HazaribaghNIT-46.pdfRead More,JSBCCL,General,JSBCCL,https://jsbccl.jharkhand.gov.in/assets/admin/uploads/tenders/NIT-46.pdf,,,,INR,General,,Bihar,Jharkhand,,,2026-03-04 11:27:52.466402,open,50,,2026-03-04 06:19:40.178948,2026-03-04 11:27:52.466402
16099,,NIT-45.pdf,6JSBCCL/45/2019-20Construction of Base Kitchen and Distribution Center under Mukhyamantri Canteen Scheme in Ranchi DistrictNIT-45.pdfRead More,JSBCCL,General,JSBCCL,https://jsbccl.jharkhand.gov.in/assets/admin/uploads/tenders/NIT-45.pdf,,,,INR,General,,Bihar,Jharkhand,,,2026-03-04 11:27:52.468404,open,50,,2026-03-04 06:19:40.185948,2026-03-04 11:27:52.468404
16100,,e-Tender,e-Tender,JBVNL,General,JBVNL,https://jbvnl.co.in/,,,,INR,General,,Bihar,Unknown,,,2026-03-04 11:27:53.860428,open,50,,2026-03-04 06:19:40.962575,2026-03-04 11:27:53.860428
